iter	Logloss
0	0.583999939
1	0.4978716734
2	0.4336010172
3	0.3874383666
4	0.3500034533
5	0.3232626117
6	0.2997704338
7	0.2812181091
8	0.2681607242
9	0.2579861844
10	0.2509202517
11	0.2432456094
12	0.2335481629
13	0.2267415961
14	0.2239719967
15	0.2196810055
16	0.2154405751
17	0.211169632
18	0.208618719
19	0.2057182663
20	0.2044761456
21	0.202061332
22	0.199490619
23	0.1961971925
24	0.1944713307
25	0.1922526572
26	0.1901606456
27	0.1891567463
28	0.18833082
29	0.187739332
30	0.186469892
31	0.1841425658
32	0.1827993942
33	0.1811955551
34	0.1806584011
35	0.1801379171
36	0.1793522564
37	0.1786115571
38	0.1780264441
39	0.1771375481
40	0.17597867
41	0.1755558382
42	0.1747994012
43	0.1743795452
44	0.1736978483
45	0.1733524035
46	0.1729335648
47	0.171828223
48	0.1707081237
49	0.1703677204
50	0.1694106265
51	0.1690857935
52	0.168822678
53	0.1685383061
54	0.167822386
55	0.1673761761
56	0.1670643005
57	0.1664930225
58	0.1661973561
59	0.1655818456
60	0.1647964251
61	0.1646100921
62	0.164347876
63	0.1640224967
64	0.1636855086
65	0.163101708
66	0.1624982049
67	0.1623104549
68	0.1618016034
69	0.1614937448
70	0.1610872546
71	0.1609150919
72	0.160740149
73	0.1604813708
74	0.1603092248
75	0.1601925503
76	0.1600610914
77	0.1596875532
78	0.1593818579
79	0.1591204289
80	0.1589239966
81	0.158622627
82	0.1583708869
83	0.158253612
84	0.1580030716
85	0.1577720522
86	0.1575153453
87	0.1573137045
88	0.1571699057
89	0.1569382513
90	0.1566730632
91	0.1565533184
92	0.1564915904
93	0.1564094867
94	0.1561972254
95	0.1560970512
96	0.1560108674
97	0.1559418789
98	0.155537343
99	0.1554423415
100	0.1553235373
101	0.1551337271
102	0.1549568743
103	0.1548122372
104	0.1545659075
105	0.1543857274
106	0.1542558495
107	0.154144855
108	0.153944759
109	0.1537826163
110	0.1536921307
111	0.1535366651
112	0.1534552013
113	0.1534078923
114	0.1532821287
115	0.1531389733
116	0.1529846236
117	0.1528616348
118	0.1526296518
119	0.1524280233
120	0.1523364016
121	0.1522420938
122	0.152153238
123	0.1520275846
124	0.1519417749
125	0.1518617046
126	0.1518007703
127	0.1517440905
128	0.1516164175
129	0.1514668955
130	0.1512466484
131	0.1510897782
132	0.1510157832
133	0.1508505234
134	0.1506940529
135	0.1506080619
136	0.1504753243
137	0.1503916231
138	0.1503197581
139	0.1502298681
140	0.1501631247
141	0.1500140089
142	0.1498828529
143	0.1498605065
144	0.1498037296
145	0.14964591
146	0.1495813629
147	0.1495242661
148	0.1495143877
149	0.1494558153
150	0.1493667886
151	0.1492787358
152	0.1492252523
153	0.1491565529
154	0.1490944083
155	0.1490315896
156	0.1489563722
157	0.1488010362
158	0.1487453781
159	0.1486596925
160	0.1485188322
161	0.1484093718
162	0.1483650332
163	0.1483002684
164	0.1482126081
165	0.1481672822
166	0.1481489457
167	0.1479580196
168	0.1478781131
169	0.1478034298
170	0.1477340331
171	0.1476330365
172	0.1476200711
173	0.1475824268
174	0.1475215654
175	0.147487239
176	0.1473669307
177	0.1473537483
178	0.1473167613
179	0.1472314882
180	0.1472206019
181	0.1472167341
182	0.1471340606
183	0.1471235618
184	0.1471074231
185	0.1470520747
186	0.1469865897
187	0.1469196618
188	0.1468609936
189	0.1467716813
190	0.1467559397
191	0.1467051291
192	0.1466736271
193	0.1465727721
194	0.146532012
195	0.1464671187
196	0.1464586375
197	0.1464472445
198	0.1464390826
199	0.1464356362
