iter	Passed	Remaining
0	44	8921
1	87	8624
2	132	8691
3	174	8562
4	220	8607
5	265	8600
6	311	8578
7	356	8554
8	402	8540
9	447	8493
10	490	8424
11	533	8361
12	577	8309
13	624	8291
14	689	8508
15	732	8419
16	772	8313
17	829	8387
18	870	8291
19	913	8217
20	958	8174
21	1001	8100
22	1047	8061
23	1089	7991
24	1133	7931
25	1177	7879
26	1227	7865
27	1273	7821
28	1315	7757
29	1360	7710
30	1406	7667
31	1451	7620
32	1497	7577
33	1541	7528
34	1587	7482
35	1631	7431
36	1673	7374
37	1718	7324
38	1760	7268
39	1805	7223
40	1848	7166
41	1891	7116
42	1934	7063
43	1975	7005
44	2024	6974
45	2069	6929
46	2113	6879
47	2156	6828
48	2199	6779
49	2242	6728
50	2286	6681
51	2331	6636
52	2383	6611
53	2429	6569
54	2479	6536
55	2522	6487
56	2573	6456
57	2618	6409
58	2664	6368
59	2708	6319
60	2753	6273
61	2798	6227
62	2840	6176
63	2892	6147
64	2934	6094
65	2975	6041
66	3035	6025
67	3077	5973
68	3118	5921
69	3165	5878
70	3214	5840
71	3255	5787
72	3298	5737
73	3346	5697
74	3389	5649
75	3434	5602
76	3478	5556
77	3523	5511
78	3568	5465
79	3611	5417
80	3658	5374
81	3700	5324
82	3741	5273
83	3785	5228
84	3828	5179
85	3875	5137
86	3919	5090
87	3962	5042
88	4005	4995
89	4047	4946
90	4091	4900
91	4132	4850
92	4173	4802
93	4217	4755
94	4258	4706
95	4303	4662
96	4345	4613
97	4392	4571
98	4443	4533
99	4484	4484
100	4526	4436
101	4569	4390
102	4612	4344
103	4659	4300
104	4703	4255
105	4747	4210
106	4790	4164
107	4836	4119
108	4879	4073
109	4922	4027
110	4971	3986
111	5013	3938
112	5058	3894
113	5099	3846
114	5159	3813
115	5200	3765
116	5257	3729
117	5299	3682
118	5344	3637
119	5389	3592
120	5431	3546
121	5492	3511
122	5537	3466
123	5583	3422
124	5626	3375
125	5668	3328
126	5711	3283
127	5753	3236
128	5797	3191
129	5840	3145
130	5883	3099
131	5931	3055
132	5978	3011
133	6028	2969
134	6071	2923
135	6115	2878
136	6159	2832
137	6205	2787
138	6251	2743
139	6295	2697
140	6337	2652
141	6382	2606
142	6426	2561
143	6468	2515
144	6511	2469
145	6565	2428
146	6608	2382
147	6649	2336
148	6693	2290
149	6733	2244
150	6774	2198
151	6818	2153
152	6859	2107
153	6902	2061
154	6943	2015
155	6987	1970
156	7030	1925
157	7075	1880
158	7122	1836
159	7163	1790
160	7206	1745
161	7251	1700
162	7292	1655
163	7335	1610
164	7386	1566
165	7429	1521
166	7488	1479
167	7533	1434
168	7582	1390
169	7628	1346
170	7671	1300
171	7717	1256
172	7758	1210
173	7799	1165
174	7844	1120
175	7898	1077
176	7941	1031
177	7986	987
178	8041	943
179	8091	899
180	8137	854
181	8181	809
182	8235	765
183	8278	719
184	8332	675
185	8376	630
186	8422	585
187	8466	540
188	8512	495
189	8558	450
190	8603	405
191	8652	360
192	8699	315
193	8746	270
194	8793	225
195	8843	180
196	8892	135
197	8940	90
198	8989	45
199	9038	0
