Batch,Model,Preprocessing,Feature_Set,Sampling_Technique,Best_Parameters,CV_PR_AUC,CV_PR_AUC_std,Validation_PR_AUC,Precision,Recall,F1,ROC_AUC,CV_Recall,CV_Precision,CV_F1,CV_ROC_AUC,Train_Time_s,Notes
Batch_2,XGBoost,None (unscaled),full,None,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8037,0.0147,0.8039,0.9079,0.6132,0.732,0.9293,0.6264,0.8929,0.7362,0.9222,54.9,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,LightGBM,None (unscaled),reduced_v1,None,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8015,0.0142,0.8035,0.9128,0.6119,0.7327,0.9308,0.6256,0.8944,0.7362,0.92,3.3,"Redundancy-removal test (reduced_v1), no sampling"
Batch_2,XGBoost,None (unscaled),reduced_v1,None,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8031,0.0155,0.8035,0.9033,0.6157,0.7322,0.9307,0.6248,0.8933,0.7353,0.9218,6.9,"Redundancy-removal test (reduced_v1), no sampling"
Batch_2,XGBoost,None (unscaled),reduced_v2,None,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8026,0.0157,0.803,0.9064,0.6144,0.7324,0.9285,0.6222,0.8898,0.7322,0.9217,6.7,"Redundancy-removal test (reduced_v2), no sampling"
Batch_2,LightGBM,None (unscaled),reduced_v2,None,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7997,0.014,0.801,0.902,0.607,0.7257,0.9275,0.623,0.8912,0.7332,0.9197,3.0,"Redundancy-removal test (reduced_v2), no sampling"
Batch_2,LightGBM,None (unscaled),full,None,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8006,0.014,0.8008,0.9015,0.6144,0.7308,0.9291,0.6264,0.8898,0.7351,0.9199,68.8,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,XGBoost,None (unscaled),full,ClassWeight_scale_pos_weight,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7983,0.0157,0.7982,0.5158,0.7923,0.6248,0.93,0.7922,0.5227,0.6298,0.9212,3.6,scale_pos_weight=8.326 (neg:pos ratio)
Batch_2,XGBoost,None (unscaled),full,RandomOverSampler,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.798,0.0158,0.7977,0.5237,0.7836,0.6278,0.928,0.7871,0.5353,0.6372,0.9204,5.6,RandomOverSampler applied only within training folds/final training fit
Batch_2,LightGBM,None (unscaled),full,ClassWeight_balanced,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7977,0.0149,0.7962,0.5572,0.7699,0.6465,0.9264,0.7754,0.5713,0.6578,0.9193,1.8,class_weight='balanced'
Batch_2,LightGBM,None (unscaled),full,RandomOverSampler,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.796,0.0146,0.7949,0.5688,0.7711,0.6547,0.9275,0.7687,0.5813,0.6619,0.9188,3.0,RandomOverSampler applied only within training folds/final training fit
Batch_2,XGBoost,None (unscaled),full,RandomUnderSampler,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7907,0.0155,0.7878,0.467,0.8172,0.5943,0.9259,0.8065,0.4776,0.5999,0.9189,1.5,RandomUnderSampler applied only within training folds/final training fit
Batch_2,LightGBM,None (unscaled),full,RandomUnderSampler,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7883,0.0146,0.7868,0.4761,0.8035,0.5979,0.9249,0.7967,0.4996,0.614,0.9169,0.9,RandomUnderSampler applied only within training folds/final training fit
Batch_2,MLP,RobustScaler,reduced_v1,None,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7894,0.0144,0.7815,0.9136,0.5784,0.7083,0.9141,0.6152,0.893,0.7282,0.9057,184.3,"Redundancy-removal test (reduced_v1), no sampling"
Batch_2,MLP,RobustScaler,reduced_v2,None,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7874,0.0136,0.7813,0.9058,0.5983,0.7206,0.9138,0.6041,0.8989,0.7223,0.9058,131.9,"Redundancy-removal test (reduced_v2), no sampling"
Batch_2,MLP,RobustScaler,full,None,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7891,0.0116,0.7804,0.8932,0.6032,0.7201,0.9079,0.6086,0.8999,0.7261,0.9057,22.5,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,LightGBM,None (unscaled),full,SMOTETomek,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7792,0.0164,0.7764,0.8534,0.6157,0.7153,0.914,0.6342,0.8506,0.7265,0.9077,68.2,SMOTETomek applied only within training folds/final training fit
Batch_2,LightGBM,None (unscaled),full,SMOTENC,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7812,0.0158,0.7761,0.8554,0.6107,0.7126,0.9147,0.6352,0.8449,0.7251,0.9086,47.8,SMOTENC applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,None,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7809,0.0125,0.7724,0.9302,0.5137,0.6619,0.914,0.5332,0.9413,0.6806,0.9081,426.5,Reused from Batch 1 (identical model/data/split) — not re-run
Batch_2,RandomForest,None (unscaled),full,ClassWeight_balanced,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.775,0.013,0.766,0.9008,0.5423,0.677,0.9169,0.5782,0.8951,0.7025,0.9099,173.6,class_weight='balanced'
Batch_2,LightGBM,None (unscaled),full,SMOTEENN,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7745,0.0155,0.7637,0.7939,0.6517,0.7158,0.9113,0.6733,0.7784,0.722,0.9058,61.5,SMOTEENN applied only within training folds/final training fit
Batch_2,MLP,RobustScaler,full,RandomUnderSampler,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7574,0.007,0.7627,0.5008,0.7674,0.6061,0.9044,0.7879,0.4617,0.5812,0.8949,43.7,RandomUnderSampler applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),full,RandomOverSampler,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7706,0.0138,0.7612,0.8496,0.597,0.7012,0.9178,0.6232,0.8477,0.7183,0.9082,219.2,RandomOverSampler applied only within training folds/final training fit
Batch_2,XGBoost,None (unscaled),full,SMOTETomek,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.7722,0.0153,0.7608,0.86,0.5808,0.6934,0.9098,0.62,0.8598,0.7205,0.9039,64.2,SMOTETomek applied only within training folds/final training fit
Batch_2,RandomForest,None (unscaled),reduced_v2,None,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7633,0.0131,0.7597,0.9422,0.4664,0.624,0.915,0.4692,0.9359,0.6249,0.9079,186.3,"Redundancy-removal test (reduced_v2), no sampling"
