Model,Metric,Threshold,OOF_Train_Precision,OOF_Train_Recall,Val_Precision,Val_Recall,Val_F1,Val_Fbeta
XGBoost,F0.5,0.6304000020027161,0.9462,0.5715,0.9574,0.5585,0.7054,0.8377
XGBoost,F1,0.3382000029087066,0.8182,0.6824,0.8453,0.6592,0.7407,0.7407
XGBoost,F2,0.1712999939918518,0.6554,0.7551,0.6481,0.74,0.6911,0.7196
XGBoost,Default_0.5,0.5,,,0.9219,0.602,0.7284,
LightGBM,F0.5,0.6608,0.9424,0.575,0.9568,0.551,0.6993,0.834
LightGBM,F1,0.3775,0.8407,0.6597,0.8602,0.643,0.7359,0.7359
LightGBM,F2,0.1624,0.6699,0.7445,0.6693,0.7351,0.7007,0.7209
LightGBM,Default_0.5,0.5,,,0.904,0.597,0.7191,
LogisticRegression,F0.5,0.3391,0.8376,0.5414,0.841,0.5261,0.6473,0.7511
LogisticRegression,F1,0.2347,0.7444,0.6427,0.7462,0.607,0.6694,0.6694
LogisticRegression,F2,0.1587,0.577,0.7426,0.5626,0.7152,0.6298,0.6784
LogisticRegression,Default_0.5,0.5,,,0.884,0.4266,0.5755,
MLP,F0.5,0.6634,0.9493,0.559,0.9603,0.541,0.6921,0.8314
MLP,F1,0.3471,0.837,0.6595,0.8203,0.653,0.7271,0.7271
MLP,F2,0.1535,0.6538,0.7421,0.5833,0.7488,0.6558,0.7086
MLP,Default_0.5,0.5,,,0.8932,0.6032,0.7201,
RandomForest,F0.5,0.4344,0.9095,0.5841,0.8988,0.5522,0.6841,0.7986
RandomForest,F1,0.3391,0.8428,0.6485,0.8524,0.6107,0.7116,0.7116
RandomForest,F2,0.1865,0.6342,0.7453,0.627,0.7214,0.6709,0.7003
RandomForest,Default_0.5,0.5,,,0.9302,0.5137,0.6619,
XGBoost,F1.3,0.27559998631477356,0.7727,0.7066,0.7829,0.6816,0.7287,0.716
XGBoost,F1.5,0.23149999976158142,0.7343,0.7253,0.7359,0.7002,0.7177,0.7109
XGBoost,F1.75,0.19529999792575836,0.6889,0.7434,0.6823,0.7239,0.7025,0.7132
LightGBM,F1.3,0.2535,0.7692,0.7032,0.7719,0.6903,0.7288,0.7185
LightGBM,F1.5,0.2384,0.757,0.7088,0.7551,0.694,0.7233,0.7117
LightGBM,F1.75,0.1624,0.6699,0.7445,0.6693,0.7351,0.7007,0.7177
