Taxpayer_ID,Business_Type,Region,Years_in_Business,Employee_Count,Annual_Revenue,Annual_Expenses,Net_Profit,Taxable_Income,Expected_Tax,Declared_Tax,VAT_Collected,VAT_Paid,Previous_Audits,Previous_Violations,Late_Payments,Industry_Risk,Cash_Transactions_Percentage,Missing_Documents,Invoice_Mismatch,Expense_Ratio,Profit_Margin,Revenue_per_Employee,Tax_Gap,Fraud
100000,Restaurant,Cairo,10,9,1892448.36,839511.26,1052937.1,919634.4,206917.74,200930.13,264942.77,117531.58,2,0,0,Medium,58.87,0,0,0.444,0.556,210272.04,5987.61,0
100001,Pharmacy,Giza,0,17,2129742.33,923661.4,1206080.92,1078021.3,242554.79,234562.43,298163.93,129312.6,1,0,1,Low,5.98,0,0,0.434,0.566,125278.96,7992.36,0
100002,Restaurant,Sharqia,4,8,789223.93,334017.67,455206.26,420736.46,94665.7,81056.42,110491.35,46762.47,1,0,0,Medium,69.98,4,1,0.423,0.577,98652.99,13609.28,1
100003,Manufacturing,Cairo,7,8,427211.55,361951.79,65259.77,58963.05,13266.69,12816.14,59809.62,50673.25,2,0,0,Medium,42.56,1,0,0.847,0.153,53401.44,450.54,0
100004,Import/Export,Sharqia,3,8,1516452.68,831833.16,684619.52,588453.59,132402.06,130966.03,212303.38,116456.64,0,1,2,High,39.09,1,0,0.549,0.451,189556.58,1436.03,0
100005,Retail,Alex,6,9,445465.32,291843.23,153622.09,151492.12,34085.73,33258.73,62365.14,40858.05,0,0,0,Medium,36.68,2,0,0.655,0.345,49496.15,827.0,0
100006,Pharmacy,Dakahlia,5,13,1287167.06,1074094.69,213072.37,209751.36,47194.06,46763.89,180203.39,150373.26,0,1,1,Low,58.93,0,0,0.834,0.166,99012.85,430.16,0
100007,Restaurant,Sharqia,10,9,1397865.77,1078888.7,318977.07,288528.93,64919.01,62407.75,195701.21,151044.42,1,0,0,Medium,7.54,1,0,0.772,0.228,155318.42,2511.26,0
100008,Construction,Cairo,2,15,537747.93,433947.4,103800.53,91930.49,20684.36,20032.17,75284.71,60752.64,0,0,1,High,12.87,0,0,0.807,0.193,35849.86,652.19,0
100009,Healthcare,Giza,5,10,931100.49,452419.37,478681.12,453203.76,101970.85,97629.26,130354.07,63338.71,0,0,0,Low,63.16,2,0,0.486,0.514,93110.05,4341.59,0
100010,Unknown,Unknown,10,3,1368524.49,555431.62,813092.87,800556.9,180125.3,166860.98,191593.43,77760.43,3,0,0,Low,38.52,0,0,0.406,0.594,456174.83,13264.32,1
100011,Manufacturing,Sohag,12,11,729382.82,257499.09,471883.74,412483.58,92808.81,89733.76,102113.6,36049.87,0,0,0,Medium,60.65,1,0,0.353,0.647,66307.53,3075.04,0
100012,Restaurant,Sharqia,12,8,709548.89,361246.54,348302.35,308804.32,69480.97,68506.42,99336.85,50574.52,1,1,0,Medium,32.47,1,0,0.509,0.491,88693.61,974.55,0
100013,IT,Alex,7,8,1982363.44,712211.58,1270151.86,1256494.91,282711.35,270354.42,277530.88,99709.62,0,0,1,Low,48.02,0,0,0.359,0.641,247795.43,12356.93,0
100014,Construction,Giza,8,5,1339232.94,962914.29,376318.65,375757.21,84545.37,76643.57,187492.61,134808.0,1,0,0,High,59.19,2,0,0.719,0.281,267846.59,7901.8,1
100015,Manufacturing,Alex,12,14,2662819.14,2053513.2,609305.94,590642.23,132894.5,131989.11,372794.68,287491.85,0,0,1,Medium,23.92,0,0,0.771,0.229,190201.37,905.39,0
100016,Import/Export,Dakahlia,8,7,2577332.27,1098552.59,1478779.68,1372805.14,308881.16,304887.93,360826.52,153797.36,1,0,3,High,18.66,0,0,0.426,0.574,368190.32,3993.23,0
100017,Retail,Dakahlia,12,6,3847411.77,1746634.88,2100776.88,1834956.25,412865.16,406606.18,538637.65,244528.88,2,0,1,Medium,72.39,0,0,0.454,0.546,641235.29,6258.97,0
100018,Healthcare,Sohag,4,8,4458861.29,1822338.82,2636522.47,2435467.54,547980.2,538906.48,624240.58,255127.44,1,0,1,Low,16.44,0,1,0.409,0.591,557357.66,9073.71,0
100019,IT,Dakahlia,12,11,790047.37,289083.69,500963.68,469836.97,105713.32,104435.98,110606.63,40471.72,2,0,2,Low,31.79,0,0,0.366,0.634,71822.49,1277.34,0
100020,Education,Alex,4,16,868766.07,316198.85,552567.23,537189.43,120867.62,118493.23,121627.25,44267.84,1,1,0,Low,31.66,1,0,0.364,0.636,54297.88,2374.39,0
100021,Import/Export,Sohag,8,6,2712431.77,2464120.56,248311.21,243037.55,54683.45,52156.89,379740.45,344976.88,1,1,1,High,69.5,0,0,0.908,0.092,452071.96,2526.56,0
100022,Healthcare,Assiut,7,31,2534885.33,1569264.65,965620.68,863247.13,194230.61,191210.98,354883.95,219697.05,1,1,1,Low,76.55,1,0,0.619,0.381,81770.49,3019.63,0
100023,Import/Export,Monufia,14,11,843352.06,331992.12,511359.94,497695.9,111981.58,100244.9,118069.29,46478.9,0,0,4,High,26.94,0,0,0.394,0.606,76668.37,11736.68,1
100024,Restaurant,Alex,15,8,1198769.32,756658.86,442110.46,379527.73,85393.74,81849.35,167827.7,105932.24,0,0,1,Medium,48.58,1,0,0.631,0.369,149846.16,3544.39,0
100025,Healthcare,Giza,12,10,700040.28,652144.59,47895.69,44469.46,10005.63,9992.73,98005.64,91300.24,1,0,0,Low,48.71,2,0,0.932,0.068,70004.03,12.9,0
100026,Education,Sohag,11,2,832319.35,582784.74,249534.61,215014.04,48378.16,45050.77,116524.71,81589.86,0,0,4,Low,23.34,0,0,0.7,0.3,416159.68,3327.39,0
100027,Retail,Giza,5,11,557856.98,322739.51,235117.46,234056.41,52662.69,51987.54,78099.98,45183.53,0,0,5,Medium,39.42,2,0,0.579,0.421,50714.27,675.15,0
100028,Construction,Assiut,7,4,1749506.43,1317414.05,432092.38,407341.8,91651.9,89030.45,244930.9,184437.97,2,1,1,High,26.91,0,0,0.753,0.247,437376.61,2621.46,0
100029,Education,Cairo,12,18,351119.66,205526.64,145593.02,133308.06,29994.31,29440.97,49156.75,28773.73,3,0,2,Low,25.04,0,0,0.585,0.415,19506.65,553.34,0
100030,Construction,Alex,10,4,1921796.12,760104.95,1161691.17,1009895.26,227226.43,215997.55,269051.46,106414.69,1,1,0,High,60.83,0,0,0.396,0.604,480449.03,11228.88,1
100031,Construction,Dakahlia,4,4,1051709.01,597961.69,453747.32,419948.86,94488.49,93234.45,147239.26,83714.64,2,0,0,High,35.99,1,0,0.569,0.431,262927.25,1254.04,0
100032,Import/Export,Cairo,5,41,967521.59,552791.7,414729.89,381294.45,85791.25,85400.31,135453.02,77390.84,0,0,1,High,69.04,0,0,0.571,0.429,23598.09,390.94,0
100033,Restaurant,Assiut,0,5,760657.64,415698.19,344959.45,299412.49,67367.81,66366.71,106492.07,58197.75,0,0,1,Medium,30.64,1,0,0.546,0.454,152131.53,1001.1,0
100034,Construction,Dakahlia,4,17,4577170.86,2579959.13,1997211.72,1993171.94,448463.69,438699.03,640803.92,361194.28,0,0,0,High,10.52,0,1,0.564,0.436,269245.34,9764.66,0
100035,Restaurant,Giza,3,12,1133208.81,985103.26,148105.55,144041.65,32409.37,31809.4,158649.23,137914.46,1,0,1,Medium,32.18,0,0,0.869,0.131,94434.07,599.97,0
