Batch,Model,Preprocessing,Feature_Set,Sampling_Technique,Best_Parameters,CV_PR_AUC,CV_PR_AUC_std,Validation_PR_AUC,Precision,Recall,F1,ROC_AUC,CV_Recall,CV_Precision,CV_F1,CV_ROC_AUC,Train_Time_s,Notes
Batch_1,CatBoost,Native categorical (no one-hot),catboost_native,,"{'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 200, 'depth': 4}",0.8041,0.015,0.8051,0.9181,0.5995,0.7254,0.9314,0.6171,0.9062,0.7341,0.9222,1518.7,"Baseline, no class weighting"
Batch_1,XGBoost,None (unscaled),tree,,"{'subsample': 0.7, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8037,0.0147,0.8039,0.9079,0.6132,0.732,0.9293,0.6264,0.8929,0.7362,0.9222,54.9,"Baseline, no class weighting"
Batch_1,LightGBM,None (unscaled),tree,,"{'subsample': 0.7, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.8006,0.014,0.8008,0.9015,0.6144,0.7308,0.9291,0.6264,0.8898,0.7351,0.9199,68.8,"Baseline, no class weighting"
Batch_1,MLP,RobustScaler,rob,,"{'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.7891,0.0116,0.7804,0.8932,0.6032,0.7201,0.9079,0.6086,0.8999,0.7261,0.9057,22.5,"Baseline, no class weighting"
Batch_1,RandomForest,None (unscaled),tree,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7809,0.0125,0.7724,0.9302,0.5137,0.6619,0.914,0.5332,0.9413,0.6806,0.9081,426.5,"Baseline, no class weighting"
Batch_1,DecisionTree,None (unscaled),tree,,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_depth': 7, 'criterion': 'entropy'}",0.7475,0.0163,0.7585,0.926,0.5759,0.7101,0.9004,0.5867,0.8748,0.7023,0.8947,26.0,"Baseline, no class weighting"
Batch_1,SVM,RobustScaler (8k subsample),rob,,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 10}",0.7708,0.0211,0.7288,0.8642,0.546,0.6692,0.8841,0.5754,0.8599,0.6894,0.8997,18.0,Trained on stratified 6000-row subsample of train (RBF SVC does not scale to full 35k rows)
Batch_1,LogisticRegression_rob,RobustScaler,rob,,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7255,0.0131,0.7087,0.8775,0.4366,0.5831,0.8889,0.4452,0.8894,0.5933,0.8879,29.7,"Baseline, no class weighting"
Batch_1,LogisticRegression_std,StandardScaler,std,,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.7242,0.0134,0.7076,0.8784,0.4403,0.5866,0.8883,0.4532,0.8875,0.5999,0.8873,33.6,"Baseline, no class weighting"
Batch_1,NaiveBayes,None (unscaled),tree,,{'var_smoothing': 1e-11},0.4342,0.0179,0.4419,0.6233,0.2799,0.3863,0.7708,0.2784,0.6194,0.3841,0.7644,2.2,"Baseline, no class weighting"
